iout, NTCpb, PTAT, CTAT, VIN, IIN, IIN_offset, VOUT, IOUT, VDCDC, DCDCIN, eff1, eff2, NTCpbcounts, PTATcounts, hr, min, sec, eff1_corrected 
0,-2.191,-6.298,-8.433,11.001,0.079,0.046,1.56,0.001,1.39,11.038,0.004,0.004,596,651,16,44,51,0.004
0.1,-2.262,-6.487,-8.587,11.001,0.093,0.046,1.56,0.1,1.389,11.043,0.297,0.263,594,651,16,40,51,0.298
0.2,-2.335,-6.76,-8.963,11.001,0.108,0.046,1.55,0.201,1.392,11.069,0.452,0.403,589,651,16,37,7,0.456
0.3,-2.191,-7.157,-8.951,11.001,0.124,0.045,1.54,0.301,1.388,11.033,0.54,0.485,595,651,16,33,13,0.548
0.4,-2.772,-7.481,-10.165,11.001,0.14,0.046,1.54,0.401,1.389,11.046,0.595,0.535,587,651,16,22,50,0.607
0.5,-1.764,-7.01,-9.496,11.001,0.157,0.046,1.53,0.5,1.389,11.03,0.621,0.563,601,653,16,16,17,0.637
0.6,-1.276,-6.73,-9.997,11.001,0.175,0.046,1.52,0.601,1.39,11.048,0.64,0.582,609,655,16,11,41,0.659
0.7,-0.197,-6.75,-9.729,11.001,0.194,0.046,1.51,0.7,1.388,11.052,0.649,0.594,625,659,16,8,45,0.673
0.8,-0.197,-6.799,-9.565,11.002,0.211,0.045,1.5,0.8,1.386,11.034,0.66,0.608,620,659,16,4,30,0.687
0.9,0.388,-6.952,-9.331,11.001,0.228,0.045,1.49,0.9,1.387,11.047,0.667,0.619,632,661,16,1,58,0.699
1,1.085,-6.547,-10.124,11.002,0.245,0.046,1.49,1.001,1.385,11.03,0.679,0.629,643,663,15,56,44,0.714
1.1,2.003,-5.975,-9.419,11.001,0.263,0.046,1.48,1.101,1.386,11.036,0.682,0.637,660,666,15,50,46,0.721
1.2,2.419,-6.129,-9.742,11.001,0.28,0.045,1.47,1.201,1.385,11.038,0.684,0.642,662,668,15,46,35,0.727
1.3,2.944,-5.947,-9.271,11.001,0.298,0.046,1.46,1.301,1.385,11.031,0.684,0.647,680,670,15,38,5,0.731
1.4,3.571,-5.658,-8.787,11.001,0.316,0.045,1.46,1.4,1.383,11.029,0.687,0.65,686,672,15,26,44,0.738
1.5,4.563,-5.532,-9.149,11.001,0.334,0.045,1.45,1.501,1.383,11.041,0.686,0.652,707,675,15,23,36,0.741
1.6,4.992,-5.647,-9.413,11.001,0.352,0.045,1.44,1.6,1.383,11.029,0.683,0.654,709,677,15,19,58,0.741
1.7,5.776,-5.471,-9.738,11.001,0.371,0.045,1.43,1.701,1.381,11.026,0.679,0.654,727,679,15,16,31,0.742
1.8,7.029,-5.001,-9.184,11.001,0.39,0.045,1.43,1.8,1.383,11.028,0.679,0.655,752,682,15,13,8,0.745
1.9,7.609,-5.007,-8.97,11.001,0.409,0.045,1.42,1.901,1.38,11.035,0.675,0.654,893,686,15,8,57,0.745
2,8.759,-4.419,-8.807,11.001,0.429,0.045,1.41,2,1.378,11.029,0.669,0.652,924,689,15,3,8,0.742
2.1,6.761,-7.246,-12.114,11.001,0.448,0.045,1.4,2.101,1.384,11.036,0.664,0.655,877,685,13,44,41,0.742
2.2,7.909,-6.447,-11.791,11.002,0.468,0.045,1.39,2.201,1.379,11.026,0.658,0.651,909,688,13,41,0,0.739
2.3,9.489,-5.977,-11.448,11.001,0.489,0.045,1.39,2.301,1.378,11.013,0.656,0.649,952,694,13,36,9,0.74
2.4,10.849,-5.811,-11.882,11.002,0.51,0.045,1.38,2.401,1.379,11.013,0.649,0.648,991,698,13,30,55,0.736
2.5,11.801,-5.34,-11.498,11.001,0.531,0.045,1.37,2.501,1.376,11.013,0.641,0.643,1023,702,13,26,33,0.732
2.6,11.801,-5.83,-10.338,11.001,0.554,0.045,1.36,2.601,1.375,11.005,0.633,0.639,1023,708,13,23,24,0.727
2.7,11.801,-7.3,-14.656,11.001,0.574,0.045,1.36,2.701,1.38,11.017,0.631,0.64,1023,705,16,59,59,0.729
2.8,11.703,-6.763,-14.325,11.001,0.597,0.045,1.35,2.801,1.377,11.004,0.623,0.635,1023,711,16,56,13,0.723
2.9,11.703,-6.483,-14.578,11.001,0.621,0.045,1.34,2.902,1.377,11.011,0.614,0.63,1023,718,16,49,34,0.717
3,11.703,-4.006,-11.776,11.001,0.647,0.045,1.33,3,1.373,11.01,0.603,0.622,1023,729,16,26,26,0.709
3.1,20.872,-7.311,-12.101,11.001,0.67,0.045,1.32,3.102,1.373,10.998,0.595,0.619,664,738,16,16,6,0.704
3.2,11.703,-4.549,-12.913,11.001,0.696,0.045,1.32,3.201,1.377,11.007,0.59,0.615,1023,738,15,7,21,0.701
3.3,11.703,-3.808,-13.462,11.001,0.723,0.045,1.31,3.301,1.373,11.003,0.58,0.607,1023,747,14,59,55,0.693
3.4,-2.544,-4.564,-12.511,11.001,0.749,0.045,1.3,3.401,1.368,10.989,0.57,0.601,1023,759,14,53,21,0.686
3.5,-2.544,-7.448,-17.34,11.001,0.77,0.044,1.29,3.501,1.373,11.001,0.566,0.602,1023,750,12,56,0,0.684
