iout, NTCpb, PTAT, CTAT, VIN, IIN, IIN_offset, VOUT, IOUT, VDCDC, DCDCIN, eff1, eff2, NTCpbcounts, PTATcounts, hr, min, sec, eff1_corrected 
0,26.114,22.441,20.68,11,0.08,0.047,1.56,0.002,1.359,11.038,0.009,0.007,726,719,9,1,37,0.009
0.1,26.174,22.323,20.68,11,0.095,0.047,1.56,0.102,1.359,11.038,0.302,0.262,729,719,9,4,40,0.303
0.2,26.413,22.441,21.306,11.001,0.11,0.047,1.55,0.201,1.357,11.038,0.45,0.393,732,720,9,7,42,0.455
0.3,22.814,18.745,16.579,11.001,0.125,0.047,1.54,0.301,1.363,11.026,0.541,0.478,679,712,16,58,47,0.549
0.4,23.277,18.918,16.6,11.002,0.141,0.047,1.53,0.401,1.361,11.039,0.591,0.524,685,713,16,54,22,0.603
0.5,23.991,19.388,16.993,11.002,0.158,0.047,1.52,0.501,1.364,11.048,0.62,0.554,696,716,16,50,48,0.636
0.6,24.612,19.553,16.759,11.002,0.177,0.047,1.52,0.601,1.362,11.034,0.638,0.571,709,719,16,47,14,0.658
0.7,25.553,19.968,16.557,11.002,0.195,0.047,1.51,0.701,1.359,11.027,0.649,0.583,722,722,16,43,14,0.672
0.8,26.514,20.439,17.801,11.002,0.213,0.046,1.5,0.801,1.362,11.029,0.657,0.595,737,723,16,39,39,0.684
0.9,27.158,20.592,17.033,11.002,0.23,0.046,1.49,0.901,1.36,11.032,0.665,0.605,747,726,16,34,19,0.696
1,27.845,21.063,18.506,11.002,0.248,0.047,1.48,1.001,1.357,11.026,0.67,0.613,761,728,16,30,37,0.705
1.1,28.463,21.144,17.573,11.002,0.265,0.047,1.47,1.101,1.359,11.035,0.673,0.62,771,730,16,23,58,0.712
1.2,29.124,21.262,18.041,11.002,0.283,0.047,1.46,1.201,1.356,11.003,0.674,0.626,782,733,16,18,42,0.717
1.3,29.825,21.497,17.829,11.002,0.301,0.046,1.45,1.301,1.356,11.012,0.673,0.628,798,734,16,15,36,0.72
1.4,30.616,21.632,18.04,11.002,0.32,0.047,1.45,1.401,1.355,11.004,0.676,0.631,810,738,16,10,58,0.727
1.5,31.184,20.403,18.515,11.002,0.339,0.047,1.44,1.501,1.356,11.011,0.673,0.633,822,740,16,2,46,0.727
1.6,28.44,18.372,13.745,11.002,0.357,0.046,1.43,1.601,1.358,11.016,0.671,0.636,772,733,15,52,45,0.729
1.7,29.639,18.978,14.561,11.001,0.376,0.046,1.42,1.701,1.357,11.023,0.666,0.635,795,738,15,48,20,0.728
1.8,30.692,19.386,14.43,11.001,0.396,0.046,1.41,1.801,1.356,11.012,0.661,0.635,815,741,15,41,1,0.727
1.9,31.863,19.675,15.217,11.002,0.416,0.046,1.41,1.901,1.355,11.008,0.659,0.634,838,744,15,36,34,0.728
2,33.044,20.264,14.901,11.002,0.437,0.046,1.4,2.002,1.356,11.017,0.653,0.632,863,748,15,30,40,0.725
2.1,34.233,19.789,15.495,11.002,0.458,0.047,1.39,2.101,1.352,10.996,0.646,0.628,887,752,15,26,13,0.722
2.2,32.899,18.162,13.122,11.001,0.478,0.046,1.38,2.201,1.355,11.007,0.64,0.628,860,750,15,14,16,0.719
2.3,34.419,18.917,13.01,11.002,0.5,0.046,1.37,2.301,1.356,10.996,0.632,0.625,893,755,15,9,5,0.714
2.4,36.011,19.599,14.269,11.001,0.523,0.046,1.36,2.401,1.356,10.997,0.623,0.622,926,760,15,5,14,0.708
2.5,37.832,20.263,14.712,11.002,0.546,0.046,1.35,2.501,1.355,11.017,0.614,0.616,971,767,15,0,27,0.702
2.6,39.524,20.195,14.613,11.002,0.57,0.046,1.35,2.602,1.351,10.985,0.61,0.611,1011,773,14,50,11,0.701
2.7,39.965,19.968,13.813,11.001,0.594,0.046,1.34,2.701,1.351,10.989,0.601,0.607,1023,777,14,41,38,0.695
2.8,37.151,18.11,10.837,11.001,0.616,0.046,1.33,2.801,1.354,10.998,0.594,0.605,1023,775,14,31,34,0.691
2.9,37.151,19.135,11.37,11.002,0.642,0.046,1.32,2.901,1.353,10.987,0.584,0.6,1023,783,14,25,7,0.684
3,37.151,20.666,12.837,11.002,0.668,0.047,1.31,3.001,1.35,10.997,0.575,0.593,1023,792,14,19,33,0.678
3.1,37.151,21.363,13.538,11.001,0.695,0.047,1.31,3.102,1.348,10.978,0.57,0.587,1023,799,14,15,16,0.674
3.2,37.151,22.257,12.791,11.001,0.722,0.046,1.29,3.201,1.348,10.967,0.556,0.582,1023,806,14,1,39,0.662
3.3,31.823,18.189,10.058,11.002,0.747,0.046,1.29,3.301,1.347,10.958,0.552,0.579,1023,808,13,43,35,0.662
3.4,28.258,18.241,8.263,11.002,0.773,0.046,1.28,3.401,1.349,10.956,0.544,0.576,1023,810,13,37,5,0.657
3.5,31.823,20.992,9.925,11.001,0.803,0.046,1.27,3.502,1.346,10.963,0.534,0.568,1023,821,13,32,1,0.648
